:TYPE	id:int	parlamentarier_id:START_ID(parlamentarier_id)	person_id:END_ID(person_id)	parlamentarier_kommissionen:string	funktion:string	funktion_fr:string	von:date	bis:date	updated_by_import:localdatetime	freigabe_datum:localdatetime
HAT_ZUTRITTSBERECHTIGTER	581	284	516	"APK-SR, SiK-SR, WBK-SR"	"Persönliche/r Mitarbeiter/in"				2019-12-02T21:29:53	2016-10-17T21:26:41
HAT_ZUTRITTSBERECHTIGTER	583	104	518	"APF-V, ERD-V, FK-NR"	"Biofluels Schweiz"					2020-07-02T23:02:50
HAT_ZUTRITTSBERECHTIGTER	592	117	523	"SGK-NR, WBK-NR"	"Persönlicher Mitarbeiter"					2016-11-28T07:25:59
HAT_ZUTRITTSBERECHTIGTER	599	296	526	"IK-NR, SGK-NR"	"Alliance Sud"		2015-12-18			2020-07-15T15:16:12
HAT_ZUTRITTSBERECHTIGTER	600	296	230	"IK-NR, SGK-NR"	"Schweizerischer Gewerkschaftsbund"		2015-12-18			2016-03-18T11:05:59
HAT_ZUTRITTSBERECHTIGTER	605	297	528	"GPK-NR, SGK-NR"	"Persönlicher Mitarbeiter"	"Collaborateur personel"	2015-12-18			2016-06-27T07:22:16
HAT_ZUTRITTSBERECHTIGTER	608	161	530	"APK-NR, EFTA/EU"	"Gast"		2015-12-18			2020-07-15T15:19:50
HAT_ZUTRITTSBERECHTIGTER	613	178	142	"WAK-NR"	"Schweizer Bauernverband"		2015-12-18			2019-05-21T19:27:54
HAT_ZUTRITTSBERECHTIGTER	617	300	535	"UREK-NR"	"Gast"		2015-12-18			2019-07-21T11:46:15
HAT_ZUTRITTSBERECHTIGTER	618	300	534	"UREK-NR"	"Persönlicher Mitarbeiter"		2015-12-18			2019-07-30T10:35:11
HAT_ZUTRITTSBERECHTIGTER	620	301	155	"GPDel-V, GPK-SR, KVF-SR, NATO-V, OSZE, SiK-SR"	"Persönlicher Mitarbeiter"		2015-12-18			2020-07-02T23:06:15
HAT_ZUTRITTSBERECHTIGTER	627	21	540	"Del A-V, RK-NR, WAK-NR"	"Treuhand Suisse"		2015-12-18		2017-07-01T19:11:47	2016-06-27T13:31:03
HAT_ZUTRITTSBERECHTIGTER	638	251	544	"Bü-NR, WAK-NR"	"Persönliche Mitarbeiterin"	"Collaboratrice personelle"	2015-12-15			2020-07-02T23:02:50
HAT_ZUTRITTSBERECHTIGTER	639	251	314	"Bü-NR, WAK-NR"	"Schweizerischer Arbeitgeberverband"					2020-07-02T23:05:05
HAT_ZUTRITTSBERECHTIGTER	645	315	549	"KVF-SR, NATO-V, OSZE, SGK-SR, SiK-SR"	"Verband der verladenden Wirtschaft"		2015-12-15			2020-07-02T23:02:50
HAT_ZUTRITTSBERECHTIGTER	646	315	384	"KVF-SR, NATO-V, OSZE, SGK-SR, SiK-SR"	"dynamicsgroup"		2015-12-15			2020-07-02T23:06:15
HAT_ZUTRITTSBERECHTIGTER	648	86	550	"Del F-V, ERD-V, FK-SR, KVF-SR, SiK-SR"	"Fédération vaudoise des entrepreneurs (FVE)"		2015-12-15			2016-10-17T21:46:41
HAT_ZUTRITTSBERECHTIGTER	661	6	353	"GPK-NR, IK-NR, SGK-NR"	"Schweizerischer Gewerbeverband"		2016-01-21			2016-03-18T11:03:50
HAT_ZUTRITTSBERECHTIGTER	662	98	554	"SPK-NR"	"Alliance Sud"		2016-01-21			2016-11-25T17:18:03
HAT_ZUTRITTSBERECHTIGTER	665	11	557	"GK-V, SGK-NR"	"furrerhugi.ag"		2016-01-24		2017-04-10T22:13:06	2018-06-29T11:18:08
HAT_ZUTRITTSBERECHTIGTER	672	280	266	"IK-NR, IPU, RK-NR"	"GREA-Groupement Romand d'Etudes des Addictions"		2016-02-29		2017-04-10T22:13:06	2020-07-28T10:13:59
HAT_ZUTRITTSBERECHTIGTER	674	279	564	"RK-NR, WBK-NR"	"Gast"	"Collaborateur personnel"	2016-03-01		2019-12-02T21:29:53	2019-07-24T13:22:08
HAT_ZUTRITTSBERECHTIGTER	675	279	565	"RK-NR, WBK-NR"	"Gast"		2016-03-01			2020-04-13T16:36:53
HAT_ZUTRITTSBERECHTIGTER	676	266	568	"APF-V, GPDel-V, GPK-SR, RedK-V, RK-SR, SPK-SR"	"Suissetec"		2016-03-01			2016-03-18T11:03:50
HAT_ZUTRITTSBERECHTIGTER	677	314	567	"GPK-NR, UREK-NR"	"Persönliche/r Mitarbeiter/in"		2016-03-01			2016-10-17T21:32:52
HAT_ZUTRITTSBERECHTIGTER	682	297	89	"GPK-NR, SGK-NR"	"Centre patronal"		2016-03-01			2020-07-15T15:28:10
HAT_ZUTRITTSBERECHTIGTER	687	316	573	"FK-SR, RedK-V, SGK-SR, WAK-SR"	"Raiffeisen Schweiz"		2016-03-01			2020-07-02T23:02:50
HAT_ZUTRITTSBERECHTIGTER	688	316	574	"FK-SR, RedK-V, SGK-SR, WAK-SR"	"Persönlicher Mitarbeiter"	"Collaborateur personnel"	2016-03-01			2020-07-02T23:06:15
HAT_ZUTRITTSBERECHTIGTER	696	142	487	"APK-NR, APK-NS 20-30, RK-NR"	"polsan AG / FDP Stadt Bern"				2019-12-02T21:29:53	2016-10-17T21:26:41
HAT_ZUTRITTSBERECHTIGTER	702	319	251	"APK-SR, FK-SR, GK-V, RK-SR, UREK-SR"	"Schweizerischer Anwaltsverband / Fédération Suisse des Avocats"	"Fédération Suisse des Avocats"	2016-03-01		2017-04-10T22:13:06	2020-05-31T10:23:41
HAT_ZUTRITTSBERECHTIGTER	705	309	579	"SiK-NR"	"Farner Consulting AG"		2016-03-01			2016-10-23T12:54:01
HAT_ZUTRITTSBERECHTIGTER	706	246	246	"FK-SR, RedK-V, UREK-SR, WAK-SR"	"Public Affairs und Regulation SBB AG"		2016-01-21		2017-04-10T22:13:06	2016-03-18T11:06:40
HAT_ZUTRITTSBERECHTIGTER	713	93	584	"RK-NR"	"Gast"					2016-11-10T15:24:36
HAT_ZUTRITTSBERECHTIGTER	727	11	406	"GK-V, SGK-NR"	"Swisscom AG"					2019-07-21T12:48:28
HAT_ZUTRITTSBERECHTIGTER	729	117	4	"SGK-NR, WBK-NR"	"Hirslanden AG, Privatkliniken Schweiz"		2016-04-18		2019-12-11T21:26:27	2016-04-23T09:51:58
HAT_ZUTRITTSBERECHTIGTER	730	180	448	"Del D-V, IK-NR, SGK-NR, UREK-NR"	"Berner Bauernverband"		2016-04-18			2019-05-07T14:15:56
HAT_ZUTRITTSBERECHTIGTER	732	116	145	"ERD-V, GPDel-V, GPK-NR"	"Gast"		2016-04-18			2016-09-11T09:25:05
HAT_ZUTRITTSBERECHTIGTER	739	39	597	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	"Berner Bauernverband"		2016-06-21			2019-07-24T13:11:05
HAT_ZUTRITTSBERECHTIGTER	750	125	608	"APK-SR, IPU, RK-SR, SiK-SR, SPK-SR"	"Kaufmännischer Verband"	"Société des employés de commerce"	2016-06-21			2020-07-15T18:03:53
HAT_ZUTRITTSBERECHTIGTER	753	192	611	"APF-V, APK-SR, BeK-V, Del F-V, EFTA/EU, GPK-SR, RK-SR"	"Agile.ch"	"Agile.ch"	2016-06-18			2019-07-24T13:23:23
HAT_ZUTRITTSBERECHTIGTER	764	289	616	"GPK-NR, UREK-NR"	"Gast"		2016-09-19			2019-07-18T11:28:34
HAT_ZUTRITTSBERECHTIGTER	765	299	617	"BeK-V, Del F-V, IK-NR, UREK-NR"	"CCIF du canton de Fribourg"	"Invité"	2016-09-19		2017-10-13T20:06:34	2016-10-31T21:55:36
HAT_ZUTRITTSBERECHTIGTER	767	6	619	"GPK-NR, IK-NR, SGK-NR"	"Intergenerika"		2016-10-05			2020-07-02T23:05:05
HAT_ZUTRITTSBERECHTIGTER	769	317	81	"FinDel-V, FK-SR, SGK-SR, WAK-SR"	"Die Schweizerische Post AG"		2016-10-05			2020-07-02T23:02:50
HAT_ZUTRITTSBERECHTIGTER	771	142	622	"APK-NR, APK-NS 20-30, RK-NR"	"Persönlicher Mitarbeiter"	"Collaborateur personnel"	2016-10-05			2020-07-02T23:05:05
HAT_ZUTRITTSBERECHTIGTER	778	321	312	"KVF-SR, SiK-SR, WAK-SR"	"Persönlicher Mitarbeiter"		2016-11-30			2020-07-15T10:11:49
HAT_ZUTRITTSBERECHTIGTER	791	125	635	"APK-SR, IPU, RK-SR, SiK-SR, SPK-SR"	"Persönliche Mitarbeiterin"	"Collaboratrice personnelle"				2017-04-08T17:40:36
HAT_ZUTRITTSBERECHTIGTER	794	149	141	"WAK-NR"	"Solar Agentur Schweiz"		2017-04-03			2017-04-07T10:09:39
HAT_ZUTRITTSBERECHTIGTER	801	93	640	"RK-NR"	"Verband Schweizerischer Polizei-Beamter"		2017-04-10		2017-04-10T22:13:06	2017-04-28T07:25:02
HAT_ZUTRITTSBERECHTIGTER	809	106	648	"WAK-NR"	"EIT.swiss"		2017-06-07		2019-12-02T21:29:53	2017-09-13T08:44:28
HAT_ZUTRITTSBERECHTIGTER	822	323	514	"WAK-NR"	"Office des affaires extérieures, Etat de Vaud"	"Etat de Vaud"	2017-06-17		2017-08-25T20:06:50	2020-07-02T23:05:05
HAT_ZUTRITTSBERECHTIGTER	828	211	656	"SPK-NR, WAK-NR"	"Terre des Femmes"		2017-09-01		2017-09-01T20:06:47	2018-07-04T16:20:11
HAT_ZUTRITTSBERECHTIGTER	842	323	662	"WAK-NR"	"Schweizerischer Gewerkschaftsbund (SGB)"		2017-10-27		2017-10-27T20:06:26	2017-12-16T13:59:26
HAT_ZUTRITTSBERECHTIGTER	843	153	663	"BeK-V, GPDel-V, GPK-NR, UREK-NR"	"Schweizer Musikrat"		2017-10-27		2017-10-27T20:06:26	2017-12-22T14:40:37
HAT_ZUTRITTSBERECHTIGTER	846	289	332	"GPK-NR, UREK-NR"	"Gastro Suisse"		2017-11-10		2017-11-10T20:06:27	2017-12-16T13:37:39
HAT_ZUTRITTSBERECHTIGTER	854	248	669	"APK-NR, EFTA/EU"	"Schweizerische Bankiervereinigung"		2017-12-01		2017-12-01T12:33:22	2018-01-11T19:01:37
HAT_ZUTRITTSBERECHTIGTER	860	174	264	"APF-V, WBK-NR"	"Réseau FUTUREscience et politique"		2017-12-30		2020-08-30T23:51:42	2020-07-15T17:24:35
HAT_ZUTRITTSBERECHTIGTER	875	183	541	"Del A-V, WAK-NR"	"Union Syndicale Suisse USS"		2018-03-16		2018-03-16T20:08:04	2018-07-04T19:23:45
HAT_ZUTRITTSBERECHTIGTER	876	334	371	"GPK-NR, KVF-NR"	"Pro Natura"		2018-03-16		2018-03-16T20:08:04	2020-07-02T23:05:05
HAT_ZUTRITTSBERECHTIGTER	887	250	689	"EFTA/EU, WAK-NR"	"Persönliche/r Mitarbeiter/in"		2018-05-22		2018-05-22T05:29:56	2018-08-07T09:37:35
HAT_ZUTRITTSBERECHTIGTER	888	250	690	"EFTA/EU, WAK-NR"	"Gast"		2018-05-22		2019-12-02T21:29:53	2020-09-02T07:36:45
HAT_ZUTRITTSBERECHTIGTER	889	326	258	"SiK-NR"	"Gast"		2018-05-22		2018-05-22T05:29:56	2018-08-07T09:35:41
HAT_ZUTRITTSBERECHTIGTER	890	98	691	"SPK-NR"	"Schweizerischer MieterInnenverband SMV"		2018-05-25		2018-05-25T20:06:25	2018-07-02T13:53:17
HAT_ZUTRITTSBERECHTIGTER	891	330	69	"APK-NR, Del F-V"	"Procap Suisse"		2018-06-01		2018-06-01T20:07:44	2020-07-15T12:44:13
HAT_ZUTRITTSBERECHTIGTER	894	21	694	"Del A-V, RK-NR, WAK-NR"	"Schweizerische Bankiervereinigung"		2018-06-01		2018-06-01T20:07:44	2018-07-04T18:06:07
HAT_ZUTRITTSBERECHTIGTER	895	295	695	"BeK-V, Bü-SR, Del F-V, KVF-SR, RedK-V, RK-SR, SPK-SR, UREK-SR"	"WWF Suisse"		2018-06-15		2018-06-15T20:08:09	2018-07-02T13:53:17
HAT_ZUTRITTSBERECHTIGTER	898	85	698	"KVF-NR, SPK-NR"	"Schweizerischer Städteverband"		2018-09-07		2018-09-07T20:08:32	2018-11-06T20:48:55
HAT_ZUTRITTSBERECHTIGTER	899	53	699	"GK-V, WAK-NR"	"alliance F"		2018-09-07		2018-09-07T20:08:32	2018-11-06T20:41:08
HAT_ZUTRITTSBERECHTIGTER	903	337	22	"Bü-NR, KVF-NR, WBK-NR"	"Pro Familia Schweiz"		2018-09-07		2018-09-07T20:08:32	2018-11-16T15:48:22
HAT_ZUTRITTSBERECHTIGTER	908	178	387	"WAK-NR"	"Schweizer Bauernverband"		2018-10-05		2018-10-05T20:08:58	2020-07-15T17:45:41
HAT_ZUTRITTSBERECHTIGTER	917	330	709	"APK-NR, Del F-V"	"furrerhugi AG et Fédération suisse des patients"		2018-12-21		2018-12-21T20:08:59	2019-03-29T07:33:42
HAT_ZUTRITTSBERECHTIGTER	921	122	712	"UREK-NR"	"Schweizerische Energie-Stiftung"		2018-12-21		2018-12-21T20:08:59	2019-03-11T14:02:41
HAT_ZUTRITTSBERECHTIGTER	926	187	710	"FinDel-V, FK-NR, GK-V, RK-NR"	"Jugendsession"		2019-02-08		2019-02-08T20:08:55	2019-05-05T18:52:01
HAT_ZUTRITTSBERECHTIGTER	930	294	718	"WAK-NR"	"Persönliche/r Mitarbeiter/in"		2019-03-09		2019-03-09T19:11:46	2019-05-05T18:52:01
HAT_ZUTRITTSBERECHTIGTER	932	196	613	"FK-SR, UREK-SR, WAK-SR"	"Greenpeace"		2019-03-09		2019-03-09T19:11:46	2019-03-27T12:56:01
HAT_ZUTRITTSBERECHTIGTER	935	132	438	"WAK-NR"	"Axpo Holding AG"		2019-03-09		2019-03-09T19:11:46	2019-07-21T13:06:12
HAT_ZUTRITTSBERECHTIGTER	937	339	723	"SPK-NR"	"Kinderlobby"		2019-04-02		2019-04-02T08:27:00	2019-05-07T14:19:13
HAT_ZUTRITTSBERECHTIGTER	938	283	724	"SGK-NR, SPK-NR"	"Persönliche/r Mitarbeiter/in"		2019-04-12		2019-04-12T20:08:46	2019-05-06T21:07:24
HAT_ZUTRITTSBERECHTIGTER	940	167	163	"KVF-NR, WBK-NR"	"scienceindustries"		2019-06-07		2019-06-07T20:09:22	2020-01-31T09:27:42
HAT_ZUTRITTSBERECHTIGTER	942	317	727	"FinDel-V, FK-SR, SGK-SR, WAK-SR"	"Gast"		2019-06-07		2019-06-07T20:09:22	2020-02-26T13:55:25
HAT_ZUTRITTSBERECHTIGTER	946	309	731	"SiK-NR"	"VFAS - Verband freier Autohandel"		2019-07-12		2019-07-12T22:07:21	2020-02-17T14:35:54
HAT_ZUTRITTSBERECHTIGTER	950	154	736	"RedK-V, UREK-NR"	"Tierschutz"		2019-09-13		2019-09-13T22:11:56	2020-02-17T14:22:44
HAT_ZUTRITTSBERECHTIGTER	961	172	738	"Del A-V, RK-NR"	"Persönliche/r Mitarbeiter/in"		2019-10-18		2019-10-18T22:10:00	2020-04-16T15:15:11
HAT_ZUTRITTSBERECHTIGTER	963	44	149	"SGK-NR, WAK-NR"	"Invité(e)"		2019-12-02		2019-12-02T21:29:53	2020-07-15T17:59:09
HAT_ZUTRITTSBERECHTIGTER	977	89	753	"APK-NR, Del A-V, Del FL-V, FK-NR, OSZE"	"Alliance Sud"		2019-12-02		2019-12-02T21:29:53	2020-02-15T12:33:24
HAT_ZUTRITTSBERECHTIGTER	981	108	553	"FinDel-V, FK-NR"	"Union des Radios Régionales Romandes"		2019-12-02		2019-12-02T21:29:53	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1022	301	797	"GPDel-V, GPK-SR, KVF-SR, NATO-V, OSZE, SiK-SR"	"Gast"		2019-12-02		2019-12-02T21:29:53	2020-04-16T15:11:07
HAT_ZUTRITTSBERECHTIGTER	1024	40	60	"GK-V, KVF-NR, WBK-NR"	"Pro Velo Schweiz"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1025	265	704	"Del I-V, GPK-NR, SPK-NR"	"Pink Cross"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1026	362	799	"RK-NR"	"Bildungskommission ICT Switzerland"		2019-12-03		2019-12-03T21:01:18	2020-02-23T11:46:37
HAT_ZUTRITTSBERECHTIGTER	1027	272	506	"WAK-NR"	"Persönliche/r Mitarbeiter/in"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1028	67	93	"UREK-NR, WBK-NR"	"BIOMASSE Schweiz"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1030	388	801	"ERD-V, RedK-V, SPK-NR"	"Collaborateur(rice) personnel(le)"		2019-12-03		2019-12-03T21:01:18	2020-03-07T10:31:09
HAT_ZUTRITTSBERECHTIGTER	1031	392	802	"IK-NR, SiK-NR"	"Invité(e)"		2019-12-03		2019-12-03T21:01:18	2020-02-24T11:02:27
HAT_ZUTRITTSBERECHTIGTER	1032	392	803	"IK-NR, SiK-NR"	"Collaborateur(rice) personnel(le)"		2019-12-03		2019-12-03T21:01:18	2020-03-06T14:27:54
HAT_ZUTRITTSBERECHTIGTER	1033	277	804	"WAK-NR"	"Gast"		2019-12-03		2019-12-03T21:01:18	2020-04-16T15:14:16
HAT_ZUTRITTSBERECHTIGTER	1034	280	659	"IK-NR, IPU, RK-NR"	"ellips public affairs & consulting"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1035	80	805	"GPDel-V, GPK-NR, SGK-NR"	"Bereichsleiterin Sozialpolitik und Interessenvertretung AGIL"		2019-12-03		2019-12-03T21:01:18	2020-02-24T15:44:53
HAT_ZUTRITTSBERECHTIGTER	1037	82	807	"APK-NR, APK-NS 20-30, FK-NR, IK-NR"	"Pink Cross"		2019-12-03		2019-12-03T21:01:18	2020-02-15T12:24:28
HAT_ZUTRITTSBERECHTIGTER	1038	395	629	"SiK-NR, WBK-NR"	"Gruppe für eine Schweiz ohne Armee GSoA"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1039	89	808	"APK-NR, Del A-V, Del FL-V, FK-NR, OSZE"	"Casafair Schweiz"		2019-12-03		2019-12-03T21:01:18	2020-02-28T11:34:44
HAT_ZUTRITTSBERECHTIGTER	1041	348	578	"GPK-NR, SPK-NR"	"Gast"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1042	285	519	"APK-NR"	"Gast"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1044	391	809	"FK-NR"	"Gast"		2019-12-03		2019-12-03T21:01:18	2020-02-12T20:32:53
HAT_ZUTRITTSBERECHTIGTER	1045	391	527	"FK-NR"	"Gast"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1048	116	439	"ERD-V, GPDel-V, GPK-NR"	"Dr. Thomas Borer Consulting"		2019-12-03		2019-12-03T21:01:18	2020-01-09T10:56:32
HAT_ZUTRITTSBERECHTIGTER	1049	394	512	"SiK-NR"	"ASTAG Schweiz"		2019-12-03		2019-12-03T21:01:18	2020-01-31T09:24:54
HAT_ZUTRITTSBERECHTIGTER	1050	399	812	"RK-NR"	"Invité(e)"		2019-12-03		2019-12-03T21:01:18	2020-02-28T14:46:54
